name,party,organization_name,organization_address,food,amount,purpose
심상정,정의당,가시리,서울시 영등포구 여의도동 13-4,한식,50000,식대(의원 외 2인)
이철우,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,240000,가짜석유 관련 간담회
서청원,새누리당,가시머리식당,평창군 도암면 횡계리 3-3,한식,57000,국정감사 사전준비회의
박민식,새누리당,가야목살찌개,부산광역시 부산진구 가야대로784번길 43,한식,24000,지역현안관련 간담회
김재원,새누리당,가야한정식,서울 영등포구 여의도동 14-27,한식,65000,
박명재,새누리당,갈비명가 황우리 범어점,대구광역시 수정구 범어동 189-2,한식,24000,도당 운영위원회 관련 회의(3명)
심상정,정의당,강릉수산,서울 동작구 성대로 39길 8,한식,94000,사무실 상반기 평가 회의비(의원 외 9인)
심상정,정의당,강마루,고양시 덕양구 행주외동,한식,97000,식대(의원 외 5인)
서청원,새누리당,강문머구리 횟집,강릉시 전소동 268-20,한식,317000,해양관광산업 관련 간담회
박대동,새누리당,갯마을,서울 영등포구 여의도동 1,한식,55000,의원 및 수행원 식대
박대동,새누리당,갯마을,서울 용산 한강로3가 65-550 1층,한식,66000,의원 및 수행원 식대
박대동,새누리당,건강한밥상,경기 광주시 중부면산성리 173번지,한식,80000,지역현안 관련 간담회
김재원,새누리당,경복궁방이점,서울 송파구 방이동 35,한식,163000,
박병석,더불어민주당,계룡대반점,대전 서구 관저동 1127,중식,125000,
서청원,새누리당,고구려,수원시 팔달구 인계동 955-1,한식,1284800,215 화성/경기 예산안 관련 정책간담회
김재원,새누리당,고기굽는마을,경북 의성군 의성읍 동서1길 38,한식,184000,
김재원,새누리당,고기굽는마을,경북 의성군 의성읍 동서1길 38,한식,100000,
김재원,새누리당,고기굽는마을,서울 영등포구 국회대로74길 9 2층,양식,130000,
박민식,새누리당,고미집,부산시 진구 중앙대로 989번길 54,한식,184000,언론기자 간담회
류성걸,새누리당,고시레,서울특별시 중구 명동8가길,일식,19000,보좌진 간담회
박민식,새누리당,고쌈냉면,서울시 서대문구 신촌역로 31,한식,11000,언론기자 간담회
김재원,새누리당,고영희식당,경북 의성군 의성읍 중리리 840-3,한식,70000,
김재원,새누리당,고창복남기세상,서울 강남구 대치1동 1022-1 지상1층,한식,21000,
박명재,새누리당,고향설농탕,서울 서대문구 대신동 90-4,한식,160000,인사청문회 준비관련 회의(2명)
김재원,새누리당,고향전통찻집,서울 영등포구 여의도동 14-24 삼보호정빌딩,한식,25000,
강기정,새정치민주연합,곰작골나주곰탕,서울특별시 마포구 도화동 201-14,한식,86000,식사비
박민식,새누리당,공리,서울시 종로구 소격동 17-1,한식,11000,지방국감관련 회의
강기정,새정치민주연합,공수간 전남대점,광주 북구 우치로 90번길 7-4,한식,18400,식사비
김용태,새누리당,공주칼국수,서울 마포구 공덕동 111-14,한식,48000,간담회 식사 - 공항공사
박병석,더불어민주당,공주칼국수식당,대전 서구 도마2동 174-1 1층,한식,23000,
박민식,새누리당,공항칼국수,서울시 강서구 공항동 73-8,한식,15000,지역현안관련 간담회
김관영,국민의당,곽,영등포구 여의도동,일식,380000,"의원, 지방지 기자단 만찬간담회"
정갑윤,새누리당,광어생각,울산 중구 우정동 201-27,한식,174000,기자 간담회
강기정,새정치민주연합,광주함흥냉면,광주 동구 지산1동 715-20,한식,62000,식사비
강기정,새정치민주연합,교대곱창,서울특별시 서초구 서초동 서초중앙로 77,한식,208000,신용정보보호관련 정책간담회
서상기,새누리당,교촌치킨,경기 고양시 일산 서구 대화동 2126-2,기타,160000,정책개발간담회
류성걸,새누리당,구마산,서울특별시 영등포구 여의도동 43,한식,234000,보좌진 간담회
류성걸,새누리당,구마산,서울특별시 영등포구 여의도동 43,한식,78000,보좌진 간담회
